,Kernel Name,gpc__cycles_elapsed.max,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_active,lts__throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
232,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","4,842",6.04,7.41,6.19,5.67,7.41,6.04,5.61,5.61,2.87,2.09,0.52,0.80,0,0,0,0,0
233,volta_sgemm_32x128_tn,"82,496",65.09,62.19,69.45,25.13,61.48,51.65,51.62,19.10,65.09,32.59,0.75,19.52,0,0,0,0,0
234,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::maximum_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double, double) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,461",0.08,0.66,21.23,0.51,0.66,0.08,0.07,0.04,0.05,0.02,0.01,0.03,0,0,0.03,0.03,0
235,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BUnaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","3,282",0.28,0.56,4.50,0.56,0.01,0.28,0.26,0.26,0.08,0.11,0.04,0.05,0,0,0.04,0.04,0
236,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","9,434",1.84,45.32,39.27,34.12,45.32,1.39,1.33,0.20,0.92,1.63,0.41,1.84,0,0,0.82,0.82,0
237,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","174,203",5.36,53.74,25.79,23.97,53.74,5.36,5.30,3.46,4.83,1.65,0.49,2.14,0,0.06,0,0,0
238,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,841",1.04,18.61,10.41,10.56,18.61,1.04,0.96,0.33,0.92,0.83,0.33,0.83,0,0,0,0,0
239,"std::enable_if<!c10::is_complex<T1>::value, void>::type at::native::tensor_kernel_scan_innermost_dim<double, (int)16, (int)32, std::plus<double>>(T1 *, T1 *, unsigned int, unsigned int, T1, T4)","11,351",8.54,20.12,61.25,5.39,6.45,5.87,5.84,3.51,1.22,8.54,0.11,3.36,0,0,1.70,1.70,0
240,"void at::native::unrolled_elementwise_kernel<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)","7,792",13.62,36.68,15.88,20.72,36.68,13.62,13.44,11.87,4.45,3.30,2.67,1.98,0,2.64,0,0,0
241,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,333",0.02,0.14,16.94,0.14,0.09,0.02,0.02,0.02,0.01,0.02,0.00,0.01,0,0,0,0,0
242,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,620",0.04,0.12,14.76,0.12,0.06,0.03,0.03,0.01,0.02,0.01,0.00,0.00,0,0.01,0,0,0
243,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,949",1.34,18.26,10.71,10.27,18.26,1.34,1.22,0.41,1.30,0.97,0.32,1.14,0,0,0,0,0
244,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","5,432",4.69,19.78,8.60,9.93,19.78,4.69,4.57,1.71,3.65,1.30,0.24,0.83,0,1.89,0,0,0
245,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<double>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,469",0.03,0.59,41.30,0.59,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.00,0,0,0,0,0
246,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","14,198",31.30,59.46,32.61,34.00,59.46,31.30,31.04,29.72,9.57,5.70,10.98,5.29,0,6.51,1.63,1.63,0
247,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, bool, at::native::<unnamed>::CompareEqFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","12,892",6.02,66.56,26.73,28.09,66.56,6.02,5.98,4.48,2.09,4.18,1.20,5.38,0,0,4.78,4.78,0
248,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","295,664",3.75,92.12,26.65,34.95,92.12,3.75,3.75,2.78,2.50,2.78,1.11,2.78,0,0,0,0,0
249,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::DivFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","6,051",4.92,24.26,20.75,18.09,24.26,4.53,4.48,1.49,2.26,1.07,0.22,0.97,0,1.29,4.92,4.92,0
250,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","175,377",5.32,53.36,26.13,24.22,53.36,5.32,5.26,3.43,4.80,1.64,0.48,2.13,0,0.05,0,0,0
251,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,816",0.02,0.16,16.57,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
252,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,058",0.04,0.15,15.27,0.15,0.05,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
253,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,236",1.09,11.19,8.90,8.36,11.19,1.09,0.99,0.30,0.99,0.79,0.40,0.59,0,0,0,0,0
254,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,156",0.04,0.14,14.37,0.14,0.05,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
255,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","6,341",16.60,17.87,12.87,13.30,17.87,16.60,16.10,15.49,9.72,4.86,1.22,1.82,0,0,0,0,0
256,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)2, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","451,997",20.60,52.24,25.15,20.81,52.24,20.60,20.59,15.33,17.71,8.05,0.32,0.88,0,9.72,0,0,0
257,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<long>, at::detail::Array<char *, (int)1>>(int, T2, T3)","4,856",2.11,28.35,42.33,28.35,0.28,1.56,1.45,0.79,1.19,1.06,0.53,0.26,0,0,0,0,0
258,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,147",40.77,60.35,36.24,23.73,60.35,40.77,40.75,40.75,19.25,13.58,4.53,4.53,0,0,0,0,0
259,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<double>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,422",0.02,0.47,28.51,0.47,0.34,0.02,0.02,0.00,0.01,0.02,0.01,0.01,0,0,0.01,0.01,0
260,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,839",0.02,0.17,17.83,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
261,volta_sgemm_32x128_nt,"973,526",86.43,57.62,61.81,35.93,27.58,57.77,57.76,9.25,86.43,36.79,0.03,25.08,0,0,0,0,0
262,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,794",0.02,0.15,18.62,0.15,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
263,volta_sgemm_128x32_nn,"1,371,434",92.36,71.09,71.71,37.85,17.06,65.73,65.72,15.44,92.36,42.09,0.54,26.88,0,0,0,0,0
264,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,261",1.08,10.96,8.65,8.31,10.96,1.08,0.98,0.29,0.98,0.79,0.39,0.59,0,0,0,0,0
265,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,965",0.01,0.13,19.48,0.13,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
266,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,872",0.02,0.15,17.56,0.15,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
267,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,887",0.03,0.18,13.45,0.18,0.15,0.03,0.02,0.02,0.01,0.02,0.00,0.01,0,0,0,0,0
268,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,897",11.42,18.19,13.16,13.73,18.19,11.22,10.77,11.42,3.92,5.22,1.31,1.96,0,0,0,0,0
269,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::func_wrapper_t<double, at::native::sum_functor<double, double, double>::operator ()(at::TensorIterator &)::[lambda(double, double) (instance 1)]>, unsigned int, double, (int)4>>(T3)","6,436",11.21,10.84,8.16,4.43,10.84,11.21,10.02,7.26,3.79,4.19,2.73,2.59,0,0,2.39,2.39,0
270,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","21,088",27.22,51.92,57.09,42.89,51.92,13.56,13.51,6.17,4.25,2.74,27.22,7.96,0,4.39,16.46,16.46,0
271,volta_sgemm_32x128_tn,"81,740",65.66,62.73,69.69,25.44,61.41,52.10,52.07,19.27,65.66,32.88,0.75,19.69,0,0,0,0,0
272,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,192",13.90,8.29,13.56,8.29,0.01,13.90,13.34,13.34,6.30,4.45,1.48,1.48,0,0,0,0,0
273,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,701",1.41,6.75,15.74,6.75,0.01,1.41,1.26,0.60,1.04,0.89,0.59,0.30,0,0,0,0,0
274,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,847",0.02,0.17,17.96,0.17,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
275,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","296,701",3.74,91.79,26.55,34.82,91.79,3.74,3.73,2.77,2.49,2.77,1.11,2.77,0,0,0,0,0
276,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,550",1.25,12.54,9.11,9.50,12.54,1.25,1.14,0.35,1.13,0.91,0.45,0.68,0,0,0,0,0
277,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,860",0.02,0.17,17.57,0.17,0.08,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0,0,0,0,0
278,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,802",0.02,0.16,18.24,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
279,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,641",0.01,0.14,20.19,0.14,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0,0,0,0,0
280,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","7,224",6.04,5.63,6.45,5.63,4.96,6.04,5.86,5.19,2.62,0.89,1.78,0.62,0,1.42,0,0,0
281,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","21,668",26.53,50.65,55.56,41.74,50.65,13.47,13.42,6.54,4.14,2.67,26.53,7.75,0,4.27,16.02,16.02,0
282,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 24)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4>>(T3)","11,218",16.39,9.62,8.12,3.82,9.62,16.21,14.99,16.39,3.02,5.57,3.09,1.66,0,0.06,0,0,0
283,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,686",0.01,0.14,29.16,0.14,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
284,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,029",0.02,0.18,16.04,0.18,0.14,0.02,0.02,0.02,0.01,0.02,0.00,0.01,0,0,0,0,0
285,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,234",4.81,13.80,12.08,10.81,13.80,4.81,4.41,4.41,2.08,1.47,0.49,0.73,0,0,0,0,0
286,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","4,286",0.93,16.85,10.56,9.46,16.85,0.93,0.86,0.30,0.82,0.75,0.30,0.75,0,0,0,0,0
287,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,500",0.04,0.15,12.90,0.15,0.13,0.04,0.04,0.02,0.02,0.02,0.00,0.01,0,0.01,0,0,0
288,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,171",0.43,5.58,8.20,3.19,5.58,0.43,0.39,0.14,0.40,0.31,0.10,0.35,0,0,0,0,0
289,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","5,346",3.54,20.09,10.40,10.10,20.09,3.45,3.36,0.48,3.54,1.20,0.24,0.84,0,1.92,0,0,0
290,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,356",1.03,10.51,8.79,7.95,10.51,1.03,0.94,0.28,0.94,0.75,0.38,0.56,0,0,0,0,0
291,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","9,533",21.21,33.65,24.30,25.39,33.65,20.28,20.00,21.21,7.27,9.69,2.42,3.64,0,0,0,0,0
292,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","198,015",14.10,90.75,33.18,34.78,90.75,9.96,9.95,5.81,2.90,3.32,1.66,2.49,0,0,0,0,0
293,volta_sgemm_128x64_tn,"295,669",73.50,70.21,54.69,45.38,70.21,52.28,52.27,15.68,73.50,26.84,0.42,14.19,0,0,0,0,0
294,"void gemv2T_kernel_val<int, int, float, float, float, (int)128, (int)16, (int)4, (int)4, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T11, T5, T5)","104,191",25.11,88.78,30.08,33.71,88.78,25.11,24.98,15.80,14.02,21.33,1.58,9.28,0,0,0,0,0
295,volta_sgemm_32x128_tn,"82,272",65.29,62.38,69.66,25.19,61.64,51.81,51.77,19.16,65.29,32.69,0.75,19.57,0,0,0,0,0
296,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","10,322",26.69,42.58,29.90,31.26,42.58,26.69,26.36,18.57,20.16,10.82,17.10,5.23,0,5.60,0,0,0
297,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,633",1.16,5.58,12.75,5.58,0.01,1.16,1.03,0.49,0.85,0.73,0.49,0.24,0,0,0,0,0
298,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","11,920",5.31,12.07,24.02,9.39,12.07,5.31,5.06,3.46,3.07,2.90,0.86,0.77,0,0.02,0,0,0
299,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,689",0.01,0.14,19.69,0.14,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0,0,0,0,0
300,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::flip_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIterator &)::[lambda(int) (instance 1)]>(int, T3)","6,227",3.90,11.78,11.67,9.58,11.78,3.90,3.71,3.71,1.78,1.05,0.21,0.52,0,0,0,0,0
301,volta_sgemm_128x64_nn,"685,264",92.75,45.39,46.34,26.73,24.50,58.10,58.10,9.41,92.75,25.47,0.27,14.52,0,0,0,0,0
302,volta_sgemm_32x128_nn,"108,691",60.92,80.84,63.01,35.65,80.84,60.49,60.45,60.92,28.95,40.87,4.54,13.08,0,0,0,0,0
303,"void gemv2N_kernel<int, int, float, float, float, (int)128, (int)4, (int)4, (int)4, (int)11, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T11)","102,751",8.87,90.93,31.26,37.71,90.93,7.94,7.93,3.06,7.21,8.87,0.10,4.97,0,0,0,0,0
304,volta_sgemm_32x32_sliced1x4_nt,"1,475,366",71.29,52.10,52.40,52.10,21.29,49.99,50.05,11.94,71.29,32.11,0.02,17.95,0,0,0,0,0
305,volta_sgemm_128x32_nn,"924,235",91.40,69.81,70.96,40.08,19.91,65.04,65.04,15.28,91.40,41.65,0.53,26.97,0,0,0,0,0
306,volta_sgemm_32x128_nt,"911,717",92.28,61.53,61.09,38.30,27.93,61.67,61.71,9.87,92.28,39.28,0.03,26.75,0,0,0,0,0
307,volta_sgemm_64x32_sliced1x4_nt,"281,546",74.82,45.53,51.08,39.13,45.53,49.33,49.32,8.48,74.82,29.07,0.05,17.62,0,0,0,0,0
308,"void splitKreduce_kernel<float, float, float>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *)","5,032",4.51,28.35,12.74,11.52,28.35,4.51,4.36,3.18,3.25,2.67,0.25,1.15,0,0.76,0,0,0
309,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,799",0.02,0.16,18.09,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
310,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,047",0.04,0.15,13.82,0.15,0.05,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
311,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,551",0.99,10.12,8.10,7.63,10.12,0.99,0.90,0.27,0.90,0.72,0.36,0.54,0,0,0,0,0
312,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,069",2.93,8.89,6.97,6.66,8.89,2.72,2.65,1.04,1.98,0.66,0.32,0.47,0,1.25,0,0,0
